( 1)main    : starting, result = 0
( 8)Hello   : starting, result = 0
( 9)World   : starting, result = 0
( 8)Hello   : finished, result = 0
(11)Bar     : starting, result = 0
(12)Baz     : starting, result = 0
( 9)World   : finished, result = 1048576
(13)Penguin : starting, result = 0
(11)Bar     : finished, result = 3145728
(10)Foo     : starting, result = 0
( 1)main    : finished, result = 0
(14)Dæmon   : starting, result = 0
(15)Racoon  : starting, result = 0
(14)Dæmon   : finished, result = 6291456
(15)Racoon  : finished, result = 7340032
(13)Penguin : finished, result = 5242880
(12)Baz     : finished, result = 4194304
(10)Foo     : finished, result = 2097152
